Task ID	Task	Verb	Object Original	Noun Path	Object	Purpose	Method
23744	Select files or other abrasives, according to materials, sizes and shapes of workpieces, amount of stock to be removed, finishes specified, and steps in finishing processes.	select	abrasives	entity.n.01 > abstraction.n.06 > relation.n.01 > part.n.01 > substance.n.01 > material.n.01 > abrasive.n.01	abrasive.n.01		according to materials, sizes and shapes of workpieces, amount of stock to be removed, finishes specified, and steps in finishing processes
18962	Dress in sample or completed garments, and select accessories.	select	accessories	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > covering.n.02 > clothing.n.01 > accessory.n.01	accessory.n.01		
14695	Select or design, and purchase furnishings, art work, and accessories.	select	accessories	entity.n.01 > physical_entity.n.01 > object.n.01 > part.n.02 > component.n.03 > accessory.n.02	accessory.n.02		
7660	Select products or accessories to be displayed at trade or special production shows.	select	accessories	entity.n.01 > abstraction.n.06 > attribute.n.02 > state.n.02 > relationship.n.03 > account.n.03	account.n.03	to be displayed at trade or special production shows	
22820	Select, order, or administer anesthetics, adjuvant drugs, accessory drugs, fluids or blood products as necessary.	select	accessory	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > event.n.01 > act.n.02 > activity.n.01	activity.n.01		
18034	Review individual or commercial customer files to identify and select delinquent accounts for collection.	select	accounts	entity.n.01 > abstraction.n.06 > communication.n.02 > written_communication.n.01 > writing.n.04 > coding_system.n.01 > code.n.03 > address.n.01	address.n.01	for collection	
7647	Select activities that will help individuals learn work and life-management skills within limits of their mental or physical capabilities.	select	activities	entity.n.01 > physical_entity.n.01 > object.n.01 > part.n.02 > component.n.03 > addition.n.01 > additive.n.01 > adjuvant.n.01	adjuvant.n.01	to help individuals learn work and life-management skills	within limits of their mental or physical capabilities
2891	Select therapy activities to fit patients' needs and capabilities.	select	activities	entity.n.01 > abstraction.n.06 > relation.n.01 > part.n.01 > substance.n.01 > mixture.n.01 > alloy.n.01	alloy.n.01	to fit patients' needs and capabilities	
19465	Devise, select, or purchase domain name and web address.	select	address	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > cognition.n.01 > process.n.02 > higher_cognitive_process.n.01 > decision_making.n.01 > option.n.02	option.n.02		according to domain strategy
22820	Select, order, or administer anesthetics, adjuvant drugs, accessory drugs, fluids or blood products as necessary.	select	adjuvant	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > agent.n.03 > drug.n.01 > anesthetic.n.01	anesthetic.n.01		according to the patient's physiological requirements
2023	Select torch tips, alloys, flux, coil, tubing, or wire, according to metal types or thicknesses, data charts, or records.	select	alloys	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > living_thing.n.01 > organism.n.01 > animal.n.01	animal.n.01		according to metal types or thicknesses, data charts, or records
8243	Research, document, rate, or select alternatives for Web architecture or technologies.	select	alternatives	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > applicant.n.01	applicant.n.01	for Web architecture or technologies	
22820	Select, order, or administer anesthetics, adjuvant drugs, accessory drugs, fluids or blood products as necessary.	select	anesthetics	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > expert.n.01 > authority.n.03 > evaluator.n.01 > arbiter.n.02	arbiter.n.02		
449	Select animals to be bred, and semen specimens to be used, according to knowledge of animals, genealogies, traits, and desired offspring characteristics.	select	animals	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > expert.n.01 > authority.n.03 > evaluator.n.01 > arbiter.n.02	arbiter.n.02		according to knowledge of animals, genealogies, traits, and desired offspring characteristics
3931	Identify staff vacancies and recruit, interview, and select applicants.	select	applicants	entity.n.01 > abstraction.n.06 > attribute.n.02 > state.n.02 > feeling.n.01 > affection.n.01 > attachment.n.01	attachment.n.01		by interviewing
1906	Select applicants meeting specified job requirements and refer them to hiring personnel.	select	applicants	entity.n.01 > abstraction.n.06 > attribute.n.02 > shape.n.02 > line.n.04 > curve.n.01 > closed_curve.n.01 > simple_closed_curve.n.01 > loop.n.02 > belt.n.01	belt.n.01		meeting specified job requirements
791	Select qualified job applicants or refer them to managers, making hiring recommendations when appropriate.	select	applicants	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01 > cutting_implement.n.01 > bit.n.11	bit.n.11	making hiring recommendations	
791	Select programming languages, design tools, or applications.	select	applications	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > mechanism.n.05 > rotating_mechanism.n.01 > blade.n.08	blade.n.08		
21190	Select mediators or arbitrators for labor disputes or contract negotiations.	select	arbitrators	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > sheet.n.06 > blank.n.03	blank.n.03	for labor disputes or contract negotiations	
11081	Select and fasten bulldozer blades or other attachments to tractors, using hitches.	select	attachments	entity.n.01 > abstraction.n.06 > relation.n.01 > part.n.01 > substance.n.01 > body_substance.n.01 > liquid_body_substance.n.01 > blood.n.01	blood.n.01		
12973	Select knives, saws, blades, cutter heads, cams, bits, or belts, according to workpiece, machine functions, or product specifications.	select	belts	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > creation.n.02 > product.n.02 > work.n.02 > publication.n.01 > book.n.01	book.n.01		according to workpiece, machine functions, or product specifications
